question_id,global_agent_index,iteration,agent_index,agent_role,model_used,choice_A_prob,choice_B_prob,choice_C_prob,variance,entropy,gini,uniform_kl
0,1,1,1,You are an excellent judge with strong critical thinking skills,deepseek-r1,0.7,0.2,0.1,0.06888888888888887,1.1567796494470395,0.4000000000000001,0.4281828512741171
0,2,1,2,You are a knowledgeable and caring doctor,gpt-4o-mini,0.6,0.3,0.1,0.04222222222222222,1.295461844238322,0.3333333333333333,0.28950065648283463
0,3,1,3,You are a practical engineer,gpt-4o-mini,0.6,0.3,0.1,0.04222222222222222,1.295461844238322,0.3333333333333333,0.28950065648283463
0,4,1,4,You are a precise lawyer,gpt-4o-mini,0.6,0.3,0.1,0.04222222222222222,1.295461844238322,0.3333333333333333,0.28950065648283463
0,5,1,5,You are a clever merchant,gpt-4o-mini,0.6,0.3,0.1,0.04222222222222222,1.295461844238322,0.3333333333333333,0.28950065648283463
0,6,1,6,You are a talented summarizer with excellent synthesis abilities,deepseek-r1,0.7,0.2,0.1,0.06888888888888887,1.1567796494470395,0.4000000000000001,0.4281828512741171
0,7,2,1,You are an excellent judge with strong critical thinking skills,deepseek-r1,0.7,0.2,0.1,0.06888888888888887,1.1567796494470395,0.4000000000000001,0.4281828512741171
0,8,2,2,You are a knowledgeable and caring doctor,gpt-4o-mini,0.6,0.3,0.1,0.04222222222222222,1.295461844238322,0.3333333333333333,0.28950065648283463
0,9,2,3,You are a practical engineer,gpt-4o-mini,0.7,0.2,0.1,0.06888888888888887,1.1567796494470395,0.4000000000000001,0.4281828512741171
0,10,2,4,You are a precise lawyer,gpt-4o-mini,0.6,0.3,0.1,0.04222222222222222,1.295461844238322,0.3333333333333333,0.28950065648283463
0,11,2,5,You are a clever merchant,gpt-4o-mini,0.7,0.2,0.1,0.06888888888888887,1.1567796494470395,0.4000000000000001,0.4281828512741171
0,12,2,6,You are a talented summarizer with excellent synthesis abilities,deepseek-r1,0.8,0.2,0.0,0.11555555555555558,0.7219280948873623,0.5333333333333333,0.8523578100916813
